matchNo;date;time;stage;groupName;teamA;teamB;venueCity;venueCountry
1;2026-06-11;22:00;GROUP;A;Mexico;South Africa;Mexico City;Mexico
2;2026-06-12;05:00;GROUP;A;South Korea;Czech Republic;Zapopan;Mexico
3;2026-06-12;22:00;GROUP;B;Canada;Bosnia & Herzegovina;Toronto;Canada
4;2026-06-13;04:00;GROUP;D;USA;Paraguay;Los Angeles;USA
5;2026-06-13;22:00;GROUP;B;Qatar;Switzerland;Santa Clara;USA
6;2026-06-14;01:00;GROUP;C;Brazil;Morocco;New Jersey;USA
7;2026-06-14;04:00;GROUP;C;Haiti;Scotland;Foxborough;USA
8;2026-06-14;07:00;GROUP;D;Australia;Turkey;Vancouver;Canada
9;2026-06-14;20:00;GROUP;E;Germany;Curacao;Houston;USA
10;2026-06-14;23:00;GROUP;F;Netherlands;Japan;Arlington;USA
11;2026-06-15;02:00;GROUP;E;Ivory Coast;Ecuador;Philadelphia;USA
12;2026-06-15;05:00;GROUP;F;Sweden;Tunisia;Guadalupe;Mexico
13;2026-06-15;19:00;GROUP;H;Spain;Cape Verde;Atlanta;USA
14;2026-06-15;22:00;GROUP;G;Belgium;Egypt;Seattle;USA
15;2026-06-16;01:00;GROUP;H;Saudi Arabia;Uruguay;Miami;USA
16;2026-06-16;04:00;GROUP;G;Iran;New Zealand;Los Angeles;USA
17;2026-06-16;22:00;GROUP;I;France;Senegal;New Jersey;USA
18;2026-06-17;01:00;GROUP;I;Iraq;Norway;Foxborough;USA
19;2026-06-17;04:00;GROUP;J;Argentina;Algeria;Kansas City;USA
20;2026-06-17;07:00;GROUP;J;Austria;Jordan;Santa Clara;USA
21;2026-06-17;20:00;GROUP;K;Portugal;DR Congo;Houston;USA
22;2026-06-17;23:00;GROUP;L;England;Croatia;Arlington;USA
23;2026-06-18;02:00;GROUP;L;Ghana;Panama;Toronto;Canada
24;2026-06-18;05:00;GROUP;K;Uzbekistan;Colombia;Mexico City;Mexico
